,cluster,motif,p-value,q-value,odds-ratio,count-genes-in-cluster,count-genes-bg,remainder-cluster,remainder-bg,tf-log2FC,tf-padj,tf-cluster,%-coverage,genes
37,TPDS,EGR1,0.4046457913104273,0.45111229366186395,0.0,0,45,539,16437,0.189255434634112,3.25334724953474e-07,None,0.0,
38,MDE,EGR1,9.729371481487385e-08,1.5112957034577072e-06,11.71499118165785,10,35,405,16571,0.189255434634112,3.25334724953474e-07,None,2.409638554216868,"CDH13,ANGPTL4,EGFR,AKR1B1,MMP14,VEGFA,SLC1A4,CCND1,FN1,CD44"
39,TPDE_TMDS,EGR1,0.0098859994157878,0.029231572335912698,5.156221055881445,4,41,316,16660,0.189255434634112,3.25334724953474e-07,None,1.25,"PLAUR,BAX,TCF4,SPRY1"
40,TMDE,EGR1,0.5657446784874902,0.5991750458526601,1.217074592074592,1,44,312,16664,0.189255434634112,3.25334724953474e-07,None,0.3194888178913738,HIF1A
41,MDE_TMDS,ELK1,0.0138599031668123,0.037119051009968575,13.647155137126484,2,7,349,16663,0.226785490448757,4.94457291264279e-06,None,0.5698005698005698,"F2,LY96"
42,TMDE,ELK1,0.1538024651876395,0.21851203895560975,6.693910256410256,1,8,312,16700,0.226785490448757,4.94457291264279e-06,None,0.3194888178913738,JUNB
43,TPDE,EPAS1,3.3258932584675004e-05,0.0001937332823057319,99.0,3,2,254,16762,0.527854460189696,3.98409546929896e-12,TMDE,1.1673151750972763,"CA9,FLT1,SERPINE1"
44,MDE,EPAS1,0.1160937907597826,0.18605779844040646,10.02777777777778,1,4,414,16602,0.527854460189696,3.98409546929896e-12,TMDE,0.2409638554216867,VEGFA
45,TMDE,EPAS1,0.088615258189981,0.15408473998705655,13.387820512820513,1,4,312,16704,0.527854460189696,3.98409546929896e-12,TMDE,0.3194888178913738,BHLHE40
46,TPDE,ERG,0.1010070718717444,0.1681046267579746,10.9140625,1,6,256,16758,0.314785016340095,1.2385755806424399e-13,None,0.3891050583657587,MMP9
47,MDE_TMDS,ERG,0.1356990785676729,0.1976117831641737,7.938095238095238,1,6,350,16664,0.314785016340095,1.2385755806424399e-13,None,0.2849002849002849,ICAM2
48,MDE,ERG,1.1494080767087648e-05,8.11551763251946e-05,53.87185725871857,4,3,411,16603,0.314785016340095,1.2385755806424399e-13,None,0.9638554216867472,"VIM,HMOX1,CDH5,VWF"
49,TPDE,ETS1,7.984269515189233e-06,6.0010799904486815e-05,8.976706827309236,8,60,249,16704,0.614405989748941,4.386509797034141e-47,TPDE,3.11284046692607,"LCK,MMP9,CDKN1A,ITGA5,ANGPT2,CD4,ITGA4,FLT1"
50,TPDS_TMDE,ETS1,0.6324102529543337,0.6434567202548461,0.0,0,68,288,16665,0.614405989748941,4.386509797034141e-47,TPDE,0.0,
51,TMDS,ETS1,0.0776125630798961,0.14352164442552215,0.0,0,68,803,16150,0.614405989748941,4.386509797034141e-47,TPDE,0.0,
52,MDE_TMDS,ETS1,0.0004816402352968,0.0019020707597314304,5.560903545558521,7,61,344,16609,0.614405989748941,4.386509797034141e-47,TPDE,1.9943019943019944,"PF4,MYB,GZMB,CD3D,CD6,BCL2,CD5"
53,TPDS,ETS1,0.2795050369764026,0.3374335420492322,0.0,0,68,539,16414,0.614405989748941,4.386509797034141e-47,TPDE,0.0,
54,MDE,ETS1,1.5983684549561398e-15,9.310496250119514e-14,16.260255617398474,19,49,396,16557,0.614405989748941,4.386509797034141e-47,TPDE,4.578313253012048,"WAS,VWF,TNFRSF10B,JAK3,CCND1,MET,PCSK6,CD53,VEGFA,OAS2,FAS,COL1A1,CXCR4,ASAP1,CDH13,RUNX1,LCP1,CD8A,HMOX1"
55,TPDE_TMDS,ETS1,0.1349293598347019,0.1976117831641737,2.431594273234652,3,65,317,16636,0.614405989748941,4.386509797034141e-47,TPDE,0.9375,"CDKN2A,CIP2A,FLI1"
56,TMDE,ETS1,0.1286539826725535,0.19465180495262965,2.487543424317618,3,65,310,16643,0.614405989748941,4.386509797034141e-47,TPDE,0.9584664536741214,"CASP8,TFRC,BID"
57,TPDS_TMDE,ETS2,0.0659769543746579,0.12704653197764706,19.434378629500586,1,3,287,16730,-0.126229018229096,0.0188969988680203,None,0.3472222222222222,MMP3
58,TPDS,ETS2,0.1207662344571318,0.19012522046291697,10.211895910780669,1,3,538,16479,-0.126229018229096,0.0188969988680203,None,0.1855287569573284,ANPEP
59,MDE,FLI1,0.1160937907597826,0.18605779844040646,10.02777777777778,1,4,414,16602,0.458439187856357,3.33385666065698e-32,TPDE_TMDS,0.2409638554216867,HMOX1
60,TPDE,FOS,0.0005814869459006,0.002185265457981287,12.047430830039524,4,22,253,16742,0.128423284470485,0.0224714868178632,None,1.556420233463035,"CDKN1A,MMP9,ITGA5,RUNX2"
